20	14	19
55	59	48
87	81	85
88	81	87
76	82	70
4	8	2
2	8	1
77	85	81
42	36	46
46	53	42
50	39	43
44	39	50
65	60	54
42	53	54
54	64	65
53	64	54
19	14	7
9	5	3
3	1	9
76	70	66
75	70	82
58	66	63
63	66	70
58	45	52
32	39	44
32	28	21
37	45	31
31	28	37
44	52	37
37	52	45
37	32	44
28	32	37
23	28	31
31	45	38
88	86	80
67	77	73
73	77	81
73	62	67
73	68	62
62	50	56
67	62	56
56	60	67
56	50	43
43	39	33
8	4	12
8	12	16
16	12	22
49	54	60
49	56	43
60	56	49
42	54	49
10	1	8
10	9	1
10	16	21
8	16	10
13	7	5
5	9	13
19	7	13
13	23	19
84	82	76
76	80	84
84	80	86
70	75	69
69	63	70
59	55	69
55	63	69
61	66	58
58	52	61
21	28	17
28	23	17
23	13	17
17	13	9
17	10	21
9	10	17
47	55	48
48	41	47
31	38	26
19	23	26
26	23	31
26	20	19
65	64	71
71	78	65
65	78	74
74	77	67
67	60	74
74	60	65
85	77	83
77	74	83
83	74	78
72	80	76
76	66	72
72	61	68
66	61	72
79	73	81
68	73	79
81	88	79
88	80	79
79	72	68
80	72	79
39	32	27
27	33	39
22	33	27
27	32	21
21	16	27
27	16	22
18	25	24
11	18	24
6	12	4
43	33	40
40	49	43
42	49	40
57	52	44
57	61	52
44	50	57
57	50	62
62	68	57
68	61	57
51	38	45
51	47	38
55	47	51
51	45	58
58	63	51
51	63	55
34	26	38
38	47	34
34	30	20
20	26	34
41	30	34
34	47	41
11	24	15
15	6	11
12	6	15
22	12	15
42	40	35
35	36	42
35	25	36
35	24	25
29	40	33
29	33	22
24	35	29
29	35	40
22	15	29
29	15	24
